product_id,sku,name,description,category_id,category_name,price,cost,stock_quantity,is_active,created_at,updated_at
1,SKU-03-00001,Candidate Cushion,Treat worry make quickly however culture artist.,3,Home & Garden,91.51,59.48,140,True,2024-08-13 18:12:36.543342,2026-01-19 11:52:07.383344
2,SKU-03-00002,Hold Mirror,Really dark billion trade PM any fund.,3,Home & Garden,117.83,76.59,24,False,2025-12-21 13:12:49.274188,2026-01-19 11:52:07.383436
3,SKU-07-00003,Great Nail Polish,Drive face green white thought guy itself cost but yeah what professional data.,7,Beauty,143.82,71.91,209,True,2025-08-22 06:06:58.847499,2026-01-19 11:52:07.383530
4,SKU-07-00004,Without Perfume,Record team increase meeting night site green account write season before me.,7,Beauty,154.57,77.28,242,True,2025-07-27 13:00:59.299160,2026-01-19 11:52:07.383644
5,SKU-04-00005,Approach Tennis Racket,Cut list have form likely fly city personal often.,4,Sports,173.65,121.55,73,True,2025-03-20 22:24:37.199375,2026-01-19 11:52:07.383737
6,SKU-01-00006,Dog Speaker,New thought sing pattern whole that property inside model western third.,1,Electronics,1453.29,1235.3,285,True,2026-01-07 07:24:57.135435,2026-01-19 11:52:07.383780
7,SKU-07-00007,Office Shampoo,Position agency because happy so necessary others behavior hard daughter.,7,Beauty,62.17,31.09,169,True,2024-02-20 22:39:18.877345,2026-01-19 11:52:07.383820
8,SKU-08-00008,Into Honey,Any particularly couple question down describe number drug onto.,8,Food & Grocery,32.11,25.69,370,True,2024-06-03 02:37:35.201024,2026-01-19 11:52:07.383854
9,SKU-01-00009,Able Smart Watch,Myself player million want yes artist mother deep father.,1,Electronics,596.89,507.36,309,True,2025-12-15 20:37:55.188349,2026-01-19 11:52:07.383894
10,SKU-02-00010,Listen Jacket,Between sense significant it eat think thing source school myself federal record.,2,Clothing,163.86,98.32,300,True,2024-06-03 14:04:42.267807,2026-01-19 11:52:07.383940
11,SKU-04-00011,Cultural Water Bottle,Itself lose chance staff film summer election possible create range coach.,4,Sports,53.64,37.55,464,True,2025-01-15 12:43:50.849182,2026-01-19 11:52:07.384016
12,SKU-01-00012,Tend Headphones,Image kind size force behavior realize listen station few participant collection.,1,Electronics,1408.88,1197.55,492,True,2024-10-29 13:31:34.749184,2026-01-19 11:52:07.384061
13,SKU-08-00013,Like Spice Set,Fill wear himself particular work notice reflect.,8,Food & Grocery,143.69,114.95,360,True,2024-07-20 03:18:23.145338,2026-01-19 11:52:07.384251
14,SKU-04-00014,Take Bike Helmet,Form join financial century past act check her soldier serve.,4,Sports,158.47,110.93,194,True,2025-09-29 15:32:34.107195,2026-01-19 11:52:07.384285
15,SKU-06-00015,Wrong Building Blocks,Source environmental western home industry you mind when business worry consider cause sit.,6,Toys,63.39,34.86,262,False,2024-05-05 14:04:44.080485,2026-01-19 11:52:07.384396
